Series,SMILES,DockScore,MolWt,logP,NumRings,NumRotBonds,NumHBD,NumHBA
B49,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)c1ccc2c(c1)sc(c2Cl)Cl,-12,573.0317,8.2989,6,5,3,7
B48,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)c1ccc2c(c1)[nH]cn2,-11.7,489.1437,5.6537,6,5,4,9
B47,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)c1ccc2c(c1)occ2O,-11.6,505.1274,6.2292,6,5,4,9
B15,N(c1nc2ccc(cc2[nH]1)C(=O)c1cccc(c1)c1ccc(O)cc1)n1ccc(=O)[nH]c1=O,-11.5,439.1281,2.8917,5,5,4,9
B31,OC1=CSC=C1C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C=C2)=CC=C1,-11.5,547.1202,7.2115,6,6,4,8
B46,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)c1ccc2c(c1)scc2O,-11.5,521.1045,6.6977,6,5,4,8
B4,OC1=CC=C(C=C1)C1=CC(=CC=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CC(=C1)C1=COC=C1)N2,-11.4,515.1481,7.0374,6,6,3,8
B23,OC1=COC=C1C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C=C2)=CC=C1,-11.4,531.143,6.743,6,6,4,9
B34,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)c1ccc2c(c1)scc2,-11.4,489.1147,7.2865,6,5,2,6
B5,OC1=CC=C(C=C1)C1=CC(=CC=C1C1=CC=CC=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CC(=C1)C1=COC=C1)N2,-11.3,591.1794,8.7044,7,7,3,8
B14,O=C(c1cccc(c1)-c1ccccc1)c1ccc2nc(Nn3ccc(=O)[nH]c3=O)[nH]c2c1,-11.3,423.1331,3.1861,5,5,3,8
B32,OC1=CC(=CS1)C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C=C2)=CC=C1,-11.3,547.1202,7.2115,6,6,4,8
B38,OC1=CSC=C1C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C(O)=C2)=CC=C1,-11.3,563.1151,6.9171,6,6,5,9
B41,Oc1ccc(cc1)-c1cccc(c1)C(=O)c1ccc2nc(NC(=O)Oc3ccc4ccoc4c3)[nH]c2c1,-11.3,489.1325,6.5236,6,5,3,8
B43,O=C(Nc1nc2ccc(cc2[nH]1)C(=O)c1cccc(c1)C1=COC=C1)Oc1ccc2ccoc2c1,-11.3,463.1168,6.411,6,5,2,8
B22,OC1=CC(=CO1)C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C=C2)=CC=C1,-11.2,531.143,6.743,6,6,4,9
M49,c1cc(ccc1O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)O,-11.2,341.0648,2.726,3,3,4,9
M51,c1cc(ccc1O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)OC(=O)O,-11.1,385.0546,2.8626,3,3,4,11
B13,OC1=CC=C(C=C1)C1=CC(=CC=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=C(O)C=CC=C1)N2,-11,465.1325,5.483,5,5,4,8
B17,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)n1ccc(=O)[nH]c1=O,-11,483.1179,2.6772,5,5,4,11
B42,Oc1ccc(cc1O)-c1cccc(c1)C(=O)c1ccc2nc(NC(=O)Oc3ccc4ccoc4c3)[nH]c2c1,-11,505.1274,6.2292,6,5,4,9
MC11305,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C3=NNC(=O)C4=CC=CC=C43,-11,335.1018,2.6447,4,2,3,8
B3,OC1=CC=C(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(C=C2)C2=COC=C2)C=C1,-10.9,515.1481,7.0374,6,6,3,8
B11,OC1=CC=C(C=C1)C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C=C2)=CO1,-10.9,531.143,6.743,6,6,4,9
B12,OC1=CC=C(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C=C2)C=C1,-10.9,465.1325,5.483,5,5,4,8
B19,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)c1c[nH]c(=O)nc1N,-10.9,466.139,3.7373,5,5,5,10
M50,c1cc(ccc1O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O,-10.9,325.0699,1.5226,3,3,4,8
B18,N(c1nc2ccc(cc2[nH]1)C(=O)/C=C\c1ccc(O)cc1)n1ccc(=O)[nH]c1=O,-10.8,389.1124,1.8898,4,5,4,9
B33,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)c1ccc(C(=O)O)cc1,-10.8,477.1325,5.77,5,6,3,8
B37,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)c1ccc(C(=O)O)cc1,-10.8,477.1325,5.77,5,6,3,8
B52,c1(ccc(cc1)c1cc(ccc1)C(=O)c1cc2c(cc1)nc(NC(=O)Oc1cccc(c1)c1cocc1)[nH]2)C(=O)O,-10.8,543.143,7.03,6,7,3,9
C17,O=C(NC1=NC2=C(N1)C=C(OC1=CC(=CC=C1)C1=COC=C1)C=C2)OC1=CC(=CO1)c1ccc2ccsc2c1,-10.8,533.1045,8.7008,7,6,2,8
M2,[C@@H]1(Nc2c(N1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)NC(=O)OC,-10.8,389.1376,3.7672,4,4,4,7
M27,COC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1ccc2c(c1)oc1c2cccc1,-10.8,385.1063,4.8716,5,3,2,7
M12,c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)O,-10.7,325.0699,3.0204,3,3,3,8
M22,COC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1ccc2c(c1)[nH]c(n2)O,-10.7,351.0968,2.5541,4,3,4,9
M44,NC1=CC(=CC=C1)C1=CC(=CC=C1)C(=O)C1=CC=C2N=C(NC(=O)OCC(O)=O)NC2=C1,-10.7,430.1277,3.6762,4,6,5,9
M45,CC1=CC(=CC=C1)C1=CC(=CC=C1)C(=O)C1=CC=C2N=C(NC(=O)OCC(O)=O)NC2=C1,-10.7,429.1325,4.4024,4,6,3,8
B16,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)n1ccc(=O)[nH]c1=O,-10.6,467.123,2.9716,5,5,3,10
B28,OC1=CC=CC(=C1)C1=CC=C(C=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CC(=C1)C1=COC=C1S)N2,-10.6,547.1202,7.3261,6,6,3,8
C6,O=C(NC1=NC2=C(N1)C=C(SC1=CC(=CC=C1)C1=COC=C1)C=C2)Oc1ccc2ccsc2c1,-10.6,483.0711,7.7997,6,5,2,6
C20,ClC1=CC(=CO1)C1=CC=CC(SC2=CC3=C(C=C2)N=C(NC(=O)Oc2ccc4ccsc4c2)N3)=C1,-10.6,517.0322,8.4531,6,5,2,6
C21,O=C(NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC(=CC=C1)C1=COC=C1)OC1=CC=CO1,-10.6,413.1012,5.2578,5,5,2,8
C24,OC1=CC=C(SC2=CC3=C(C=C2)N=C(NC(=O)OC2=CC(=CO2)c2ccc4nc[nH]c4c2)N3)C=C1,-10.6,483.1001,6.1669,6,5,4,9
M10,c1(cc2c(cc1)nc([nH]2)NC(=O)Oc1occc1)C(=O)c1cccc(c1)c1ccc(cc1)O,-10.6,439.1168,5.3704,5,5,3,8
M17,c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCC(=O)O,-10.6,339.0855,2.427,3,5,3,8
M55,c1cc(ccc1C(=O)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O,-10.6,353.0648,1.5152,3,4,4,9
A15,c1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)C(=O)O,-10.5,314.1055,4.5951,4,3,2,4
B2,O=C(NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC(=C1)C1=CC=C(C=C1)C1=COC=C1)OC1=CC=CC=C1,-10.5,499.1532,7.3318,6,6,2,7
B21,OC1=CC=CC(=C1)C1=CC=C(C=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CC(=C1)C1=COC=C1)N2,-10.5,515.1481,7.0374,6,6,3,8
B60,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)C(=O)O)n1ccc(=O)[nH]c1=O,-10.5,511.1128,2.6698,5,6,4,12
C1,O=C(NC1=NC2=C(N1)C=C(SC1=CC(=CC=C1)C1=COC=C1)C=C2)OC1=CC=CO1,-10.5,417.0783,6.178,5,5,2,7
C22,Clc1sc2ccc(OC(=O)NC3=NC4=C(N3)C=C(SC3=CC(=CC=C3)C3=COC=C3)C=C4)cc2c1Cl,-10.5,550.9932,9.1065,6,5,2,6
MC11303,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3C(=O)NC4=CC=CC(=C4)C#C,-10.5,438.1328,4.2058,4,5,3,8
S19,OC(=O)OC(=O)NC1=NC2=CC=C(SC3=CC=CC=C3)C=C2[NH]1,-10.5,329.047,3.9406,3,3,3,7
S25,OC(=O)OC(=O)NC1=NC2=C(N1)C=C(PC1=CC=CC=C1)C=C2,-10.5,329.0565,2.4187,3,3,3,7
S48,O=C(NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2)OC1=CC=CO1,-10.5,351.0678,4.918,4,4,2,6
A14,OC(=O)C1=CC=C(C=C1)C2=NC3=CC(=CC=C3[NH]2)C4=CC=CC=C4,-10.4,314.1055,4.5951,4,3,2,4
B7,O=C(NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC(=C1)C1=CC=CC=C1)OC1=CC=CC(C2=COC=C2)=C1C1=CC=CC=C1,-10.4,575.1845,8.9988,7,7,2,7
B27,OC1=COC=C1C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=C(C=C2)C2=CC(O)=CC=C2)=CC=C1,-10.4,531.143,6.743,6,6,4,9
B51,c1(ccc(OC(=O)Nc2nc3c([nH]2)cc(cc3)C(=O)c2cccc(c2)c2ccc(cc2)c2cocc2)cc1)C(=O)O,-10.4,543.143,7.03,6,7,3,9
B56,c1(ccc(cc1)c1cc(OC(=O)Nc2nc3c([nH]2)cc(cc3)C(=O)c2cccc(c2)c2ccc(cc2)C(=O)O)co1)C(=O)O,-10.4,587.1329,6.7282,6,8,4,11
B61,c1(ccc(OC(=O)Nc2nc3c([nH]2)cc(cc3)C(=O)c2cccc(c2)c2ccc(cc2)c2cocc2)cc1)CC(=O)O,-10.4,557.1587,6.9589,6,8,3,9
C25,OC1=CC(=CS1)C1=CC=CC(SC2=CC3=C(C=C2)N=C(NC(=O)Oc2ccc4ccoc4c2)N3)=C1,-10.4,499.066,7.5053,6,5,3,7
M25,COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c1ccc2c(c1)c[nH]c2,-10.4,334.1066,3.4535,4,3,3,7
M28,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)C1=CC=[C-]C(=C1)c1c[nH]c(=O)nc1N)C,-10.4,403.116,2.1049,4,4,5,10
M30,c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)OC(=O)O,-10.4,369.0597,3.157,3,3,3,10
M32,c1cc(cc(c1)c1ccccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCC(=O)O,-10.4,415.1168,4.094,4,6,3,8
M54,c1cc(ccc1C(=O)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)O,-10.4,369.0597,2.7186,3,4,4,10
S51,IOC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c1ccccc1,-10.4,406.9767,3.6924,3,3,2,6
A26,[H]c1c([H])c([H])c(c([H])c1[H]):c1nc2c([H])c(c([H])c([H])c2n1[H])-c1c([H])c([H])c(c([H])c1[H])C(Cl)=O,-10.3,332.0716,5.2759,4,3,1,3
B10,OC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC(=CC=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=COC=C1)N2,-10.3,515.1481,7.0374,6,6,3,8
B45,OC1=COC=C1c1ccc(cc1)-c1cccc(c1)C(=O)c1ccc2nc(Nn3ccc(=O)[nH]c3=O)[nH]c2c1,-10.3,505.1386,4.1517,6,6,4,10
B50,N(c1nc2ccc(cc2[nH]1)C(=O)c1cccc(c1)c1ccc(O)cc1)n1cc(c(=O)[nH]c1=O)c1ccoc1,-10.3,505.1386,4.1517,6,6,4,10
B57,c1(ccc(OC(=O)Nc2nc3c([nH]2)cc(cc3)C(=O)c2cccc(c2)c2ccc(cc2)C(=O)O)cc1)C(=O)O,-10.3,521.1223,5.4682,5,7,4,10
C16,O=C(NC1=NC2=C(N1)C=C(SC1=CC(=CC=C1)C1=COC=C1)C=C2)OC1=CC(=CO1)c1ccc2ccsc2c1,-10.3,549.0817,9.0597,7,6,2,7
M1,[C@@H]1(Nc2c(N1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)NC(=O)OC,-10.3,373.1426,4.0616,4,4,3,6
M6,c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)NC(=O)Oc1occc1,-10.3,347.0906,3.9978,4,4,2,7
M13,c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O,-10.3,309.075,1.817,3,3,3,7
M41,OC(=O)COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC(=C1)C1=CC=CC(P)=C1,-10.3,447.0984,3.5944,4,6,3,8
M42,OC(=O)COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC(=C1)C1=CC=CC(F)=C1,-10.3,433.1074,4.2331,4,6,3,8
M56,c1cc(ccc1C(=O)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)OC(=O)O,-10.3,413.0495,2.8552,3,4,4,12
S33,[H]C([H])(OC(=O)NC1=NC2=C(N1)C=C(PC1=CC=CC=C1)C=C2)C(O)=O,-10.3,343.0722,1.8253,3,5,3,7
A28,[H]c1c([H])c([H])c(c([H])c1[H]):c1nc2c([H])c(c([H])c([H])c2n1[H])-c1c([H])c([H])c(c([H])c1[H])C(Cl)=O,-10.2,332.0716,5.2759,4,3,1,3
B8,OC1=CC=C(C=C1)C1=C(C=CC=C1OC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC(=C1)C1=CC=CC=C1)C1=COC=C1,-10.2,591.1794,8.7044,7,7,3,8
C9,OC1=CSC=C1C1=CC(OC(=O)NC2=NC3=C(N2)C=C(SC2=CC(=CC=C2)C2=CC=CO2)C=C3)=CC=C1,-10.2,525.0817,8.0191,6,6,3,7
C13,COC(=O)NC1=NC2=C(N1)C=C(SC1=CC=CC(=C1)C1=COC=C1)C=C2,-10.2,365.0834,5.1524,4,4,2,6
M26,COC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1ccc2c(c1)coc2,-10.2,335.0906,3.7184,4,3,2,7
M38,OC(=O)COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC(=C1)C1=CC=CC(Cl)=C1,-10.2,449.0778,4.7474,4,6,3,8
M40,OC(=O)COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC(=C1)C1=CC=CC(Br)=C1,-10.2,493.0273,4.8565,4,6,3,8
M43,OC(=O)COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC(=C1)C1=CC=CC(S)=C1,-10.2,447.0889,4.3827,4,6,3,8
Flubendazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F,-10.2,313.0863,3.1113,3,3,2,6
MC11304,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3C(=O)NC4=CC=CC(=C4F)C=C,-10.2,458.139,5.0066,4,6,3,8
S20,OC(=O)COC(=O)NC1=NC2=CC=C(OC3=CC=CC=C3)C=C2[NH]1,-10.2,327.0855,2.9883,3,5,3,8
S22,OC(=O)COC(=O)NC1=NC2=CC=C(SC3=CC=CC=C3)C=C2[NH]1       ,-10.2,343.0627,3.3472,3,5,3,7
S23,OC(=O)COC(=O)NC1=NC2=CC=C(OC3=CC=CC=C3)C=C2[NH]1,-10.2,327.0855,2.9883,3,5,3,8
S40,c1cc(ccc1)Oc1cc2c(cc1)nc([nH]2)NC(=O)OCC(=O)O,-10.2,327.0855,2.9883,3,5,3,8
B26,OC1=CC(=CO1)C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=C(C=C2)C2=CC(O)=CC=C2)=CC=C1,-10.1,531.143,6.743,6,6,4,9
B53,c1(ccc(cc1)c1cc(ccc1c1ccccc1)C(=O)c1cc2c(cc1)nc(NC(=O)Oc1cccc(c1)c1cocc1)[nH]2)C(=O)O,-10.1,619.1743,8.697,7,8,3,9
B64,c1(ccc(OC(=O)Nc2nc3c([nH]2)cc(cc3)C(=O)c2cccc(c2)c2ccc(cc2)C(=O)O)cc1)CC(=O)O,-10.1,535.138,5.3971,5,8,4,10
C12,OC(=O)NC1=NC2=C(N1)C=C(SC1=CC(C3=COC=C3)=C(O)C=C1)C=C2,-10.1,367.0627,4.7696,4,4,4,7
M31,c1cc(ccc1c1ccccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O,-10.1,385.1063,3.484,4,4,3,7
M39,OC(=O)COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC(=C1)C1=CC=CC(I)=C1,-10.1,541.0135,4.6986,4,6,3,8
M53,c1cc(cc(c1)c1ccc(cc1)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCC(=O)O,-10.1,431.1117,3.7996,4,6,4,9
N/A,c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)NC(=O)OC,-10.1,295.0957,2.9722,3,3,2,6
S3,ClOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,-10.1,315.0411,3.4962,3,3,2,6
S4,BrOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,-10.1,358.9906,3.6523,3,3,2,6
S6,CCOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,-10.1,309.1113,3.3623,3,4,2,6
A20,c1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)CC(=O)O,-10,328.1212,4.524,4,4,2,4
B24,OC1=CC(=CO1)C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=C(C=C2)C2=CC=C(O)C=C2)=CC=C1,-10,531.143,6.743,6,6,4,9
B29,OC1=COC=C1C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=C(C=C2)C2=CC(S)=CC=C2)=CC=C1,-10,547.1202,7.3261,6,6,3,8
B39,OC(=O)NC1=NC2=C(N1)C=C(C=C2)C(OC1=CSC=C1C1=CC=CC=C1)C1=CC=CC(=C1)C1=CC=C(O)C=C1,-10,533.1409,7.9223,6,7,4,7
B40,OC(=O)NC1=NC2=C(N1)C=C(C=C2)C(OC1=COC=C1C1=CC=CC=C1)C1=CC=CC(=C1)C1=CC=C(O)C=C1,-10,517.1638,7.4538,6,7,4,8
B59,N(c1nc2ccc(cc2[nH]1)C(=O)c1cccc(c1)c1ccc(cc1)C(=O)O)n1ccc(=O)[nH]c1=O,-10,467.123,2.8843,5,6,4,10
B63,c1(ccc(cc1)c1cc(OC(=O)Nc2nc3c([nH]2)cc(cc3)C(=O)c2cccc(c2)c2ccc(cc2)C(=O)O)co1)CC(=O)O,-10,601.1485,6.6571,6,9,4,11
C5,OC1=COC(=C1)C1=CC(OC(=O)NC2=NC3=C(N2)C=C(SC2=CC=CC=C2)C=C3)=CC=C1,-10,443.094,6.2906,5,5,3,7
C8,O=C(NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2)Oc1ccc2cc(sc2c1)C1=CC=CO1,-10,483.0711,7.7997,6,5,2,6
D9,c12c3c4c5c(c1[nH]c1c6c(nc(cc3/C(=C\O)/CNC4)c21)ccnc6)[nH]cn5,-10,366.1229,3.7337,7,0,4,7
M9,COC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)C(=O)Cc1cccnc1,-10,414.1328,3.7926,4,6,2,8
S7,CCCOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,-10,323.127,3.7524,3,5,2,6
S26,OC(=O)OC(=O)OC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2,-10,330.031,3.9075,3,3,2,7
S29,OC(=O)OC(=O)OC1=NC2=C(N1)C=C(OC1=CC=CC=C1)C=C2,-10,314.0539,3.5486,3,3,2,8
S49,O=C(OC1=CC=CO1)OC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2,-10,352.0518,4.8849,4,4,1,6
B55,c1(ccc(cc1)c1ccc(cc1)c1cc(ccc1)C(=O)c1cc2c(cc1)nc(NC(=O)Oc1cocc1)[nH]2)C(=O)O,-9.9,543.143,7.03,6,7,3,9
B65,N(c1nc2ccc(cc2[nH]1)C(=O)c1cccc(c1)c1ccc(cc1)CC(=O)O)n1ccc(=O)[nH]c1=O,-9.9,481.1386,2.8132,5,7,4,10
C19,ClC1=COC(OC(=O)NC2=NC3=C(N2)C=C(SC2=CC(Cl)=CC=C2)C=C3)=C1,-9.9,418.9898,6.2248,4,4,2,6
M5,[C@H]1(Nc2c(N1)cc(cc2)C(=O)c1cc(ccc1)c1occc1)NC(=O)OC,-9.9,363.1219,3.6546,4,4,3,7
M11,CSC(=O)N[C@H]1Nc2ccc(cc2N1)C(=O)c1cccc(c1)-c1ccc(O)cc1,-9.9,405.1147,4.4838,4,4,4,6
S32,OC(=O)OC(=O)NC1=NC2=C(N1)C=C(C=C2)P(=O)C1=CC=CS1,-9.9,351.0079,2.3614,3,3,3,8
S37,c1cc(ccc1C(=O)O)Sc1cc2c(cc1)nc([nH]2)NC(=O)O,-9.9,329.047,3.5022,3,4,4,7
S42,[H]C([H])(OC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C1=CC=CS1)C(O)=O,-9.9,365.014,2.4242,3,5,3,8
S47,[H]C([H])(C(O)=O)C1=CSC(=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CO1)N2,-9.9,411.0525,3.6864,4,6,3,9
A21,c1(ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccccc1)c1ccc(cc1)C(=O)O,-9.8,390.1368,6.2621,5,4,2,4
B1,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC(=C1)C1=CC=C(C=C1)C1=COC=C1,-9.8,437.1376,5.8992,5,5,2,7
B6,O=C(NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=C(C2=CC=CC=C2)C(=C1)C1=CC=CC=C1)OC1=CC=CC(=C1)C1=COC=C1,-9.8,575.1845,8.9988,7,7,2,7
