Series,SMILES,DockScore,MolWt,logP,NumRings,NumRotBonds,NumHBD,NumHBA
C2,COC(=O)NC1=NC2=C(N1)C=C(SC1=CC(=CC=C1)C1=COC=C1)C=C2,-9.8,365.0834,5.1524,4,4,2,6
C23,O=C(NC1=NC2=C(N1)C=C(SC1=CC(=CC=C1)C1=COC=C1)C=C2)OC1=CC(=CO1)C1=CC=CO1,-9.8,483.0889,7.438,6,6,2,8
D3,c12c3cc4c(c1[nH]c1c5c(nc(c6c3C=COC=C6)c21)ccnc5)[nH]cn4,-9.8,349.0964,5.04,7,0,2,6
M3,c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)NC(=O)Oc1ccccc1,-9.8,357.1113,4.4048,4,4,2,6
M58,c1cc(cc(c1)c1ccc(cc1)C(=O)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCC(=O)O,-9.8,459.1066,3.7922,4,7,4,10
S10,COC(=O)NC1=NC2=C(N1)C=C(PC1=CC=CC=C1)C=C2,-9.8,299.0824,2.3705,3,3,2,5
S13,ClOC(=O)NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2,-9.8,319.0182,4.4164,3,3,2,5
S16,BrOC(=O)NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2,-9.8,362.9677,4.5725,3,3,2,5
S21,OC(=O)OC(=O)NC1=NC2=CC=C(C=C2[NH]1)C(=O)C3=CC=CS3,-9.8,331.0263,3.0819,3,3,3,8
S24,OC(=O)OC(=O)NC1=NC2=CC=C(C=C2[NH]1)C(=O)C3=CC=CS3,-9.8,331.0263,3.0819,3,3,3,8
S27,OC(=O)OC(=O)SC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2,-9.8,346.0082,4.6208,3,3,2,6
S30,OC(=O)OC(=O)SC1=NC2=C(N1)C=C(OC1=CC=CC=C1)C=C2,-9.8,330.031,4.2619,3,3,2,7
S34,[H]C([H])(OC(=O)OC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2)C(O)=O,-9.8,344.0467,3.3141,3,5,2,7
S35,[H]C([H])(OC(=O)SC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2)C(O)=O,-9.8,360.0238,4.0274,3,5,2,6
S38,c1cc(ccc1C(=O)O)Oc1cc2c(cc1)nc([nH]2)NC(=O)O,-9.8,313.0699,3.1433,3,4,4,8
S39,c1cc(cc(c1)CC(=O)O)Sc1cc2c(cc1)nc([nH]2)NC(=O)O,-9.8,343.0627,3.4311,3,5,4,7
S50,O=C(OC1=NC2=C(N1)C=C(OC1=CC=CC=C1)C=C2)OC1=CC=CO1,-9.8,336.0746,4.526,4,4,1,7
S52,CCC(=O)NC1=NC2=CC=C(PC3=CC=CC=C3)C=C2N1,-9.8,297.1031,2.5407,3,4,2,4
B62,c1(ccc(cc1)c1cc(ccc1c1ccccc1)C(=O)c1cc2c(cc1)nc(NC(=O)Oc1cccc(c1)c1cocc1)[nH]2)CC(=O)O,-9.7,633.19,8.6259,7,9,3,9
E7,C1=CC=C2C(=C1)NC(=N2)CC3=NC4=C(N3)C=C(C=C4)C(=N)N,-9.7,290.128,2.3141,4,3,5,6
N/A,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,-9.7,299.0728,3.8924,3,3,2,5
S1,COC(=O)NC1=NC2=C(N1)C=C(OC1=CC=CC=C1)C=C2,-9.7,283.0957,3.5335,3,3,2,6
S8,CCCCOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,-9.7,337.1426,4.1425,3,6,2,6
S31,OC(=O)OC(=O)PC1=NC2=C(N1)C=C(OC1=CC=CC=C1)C=C2,-9.7,330.0406,3.4736,3,4,2,7
S41,[H]C([H])(OC(=O)NC1=NC2=C(N1)C=C(C=C2)P(=O)C1=CC=CS1)C(O)=O,-9.7,365.0235,1.768,3,5,3,8
S61,O=C(NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2)Oc1ccc2ccsc2c1,-9.7,417.0606,6.5397,5,4,2,5
B44,O=C(c1cccc(c1)-c1ccc(cc1)C1=COC=C1)c1ccc2nc(Nn3ccc(=O)[nH]c3=O)[nH]c2c1,-9.6,489.1437,4.4461,6,6,3,9
M8,c1(nc2c([nH]1)cc(cc2)C(=O)c1ncccc1)NC(=O)OC,-9.6,296.0909,2.3672,3,3,2,7
M21,C(=O)(Nc1nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)Cl,-9.6,299.0462,3.5646,3,3,2,5
M29,N(c1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)C(C(=O)O)(Cl)Cl,-9.6,439.049,5.0888,4,6,3,6
M33,c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)C[C@](O)(CC(=O)O)C(=O)O,-9.6,455.0965,1.5495,3,8,5,12
S28,OC(=O)OC(=O)PC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2,-9.6,346.0177,3.8325,3,4,2,6
S53,COC(=O)Nc1nc2ccc(Nc3ccccc3)cc2[nH]1,-9.6,282.1117,3.4848,3,3,3,6
S59,c1cc(ccc1)Sc1cc2c(cc1)nc([nH]2)NC(=O)OC(=O)C[C@](CC(=O)O)(O)C(=O)O,-9.6,459.0736,2.4697,3,8,5,11
B9,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC(=C1)C1=CC=C(C=C1)C1=CC=C(O)C=C1,-9.5,463.1532,6.0118,5,5,3,7
B30,OC1=CC=C(C=C1)C1=CC(=CC=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CC(=C1)C1=CSC=C1)N2,-9.5,531.1253,7.5059,6,6,3,7
C4,OC1=COC(=C1)C1=CC(OC(=O)NC2=NC3=C(N2)C=C(SC2=CC=C(C=C2)C2=COC=C2)C=C3)=CC=C1,-9.5,509.1045,7.5506,6,6,3,8
C7,O=C(NC1=NC2=C(N1)C=C(SC1=CC(=CC=C1)C1=COC=C1)C=C2)C1=CC=CO1,-9.5,401.0834,5.8194,5,5,2,6
C14,OC1=COC=C1OC(=O)NC1=NC2=C(N1)C=C(SC1=CC(O)=CC=C1)C=C2,-9.5,383.0576,4.3292,4,4,4,8
D10,c12c(cc3c(c1)[nH]cn3)c(cc1nc3c(cc21)NON3)/C=C\O,-9.5,305.0913,3.477,5,1,4,7
M4,c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)NC(=O)Oc1ccc(cc1)O,-9.5,373.1063,4.1104,4,4,3,7
M14,c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCCC(=O)O,-9.5,353.1012,2.8171,3,6,3,8
S36,[H]C([H])(OC(=O)PC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2)C(O)=O,-9.5,360.0334,3.2391,3,6,2,6
S43,[H]C([H])(OC(=O)OC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CS1)C(O)=O,-9.5,346.026,2.4554,3,5,2,8
S56,ClC(=O)C1=CC=C(C=C1)C1=CC2=C(NC(=N2)C2=CC=CC=C2)C=C1,-9.5,332.0716,5.2759,4,3,1,3
A30,c1(ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccccc1)OC(=O)C[C@@](CC(=O)O)(O)C(=O)O,-9.4,460.1271,3.4828,4,8,4,9
B20,OC1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CC(=C1)C1=COC=C1)N2,-9.4,515.1481,7.0374,6,6,3,8
E8,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,-9.4,458.2482,5.3513,5,8,1,5
M19,c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)O,-9.4,238.0742,2.4995,3,2,2,4
M34,c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)C[C@@](CC(=O)O)(O)C(=O)O,-9.4,455.0965,1.5495,3,8,5,12
A24,[H]SC(=O)c1c([H])c([H])c(c([H])c1[H])-c1c([H])c([H])c2n([H])c(nc2c1[H]):c1c([H])c([H])c([H])c([H])c1[H],-9.3,330.0827,4.9669,4,3,1,3
A31,c1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)OC(=O)C[C@@](CC(=O)O)(O)C(=O)O,-9.3,460.1271,3.4828,4,8,4,9
B25,OC1=COC=C1C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=C(C=C2)C2=CC=C(O)C=C2)=CC=C1,-9.3,531.143,6.743,6,6,4,9
B54,c1(ccc(cc1)c1c(cccc1OC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cccc(c1)c1ccccc1)c1cocc1)C(=O)O,-9.3,619.1743,8.697,7,8,3,9
C10,OC1=CC=CC(SC2=CC3=C(C=C2)N=C(NC(=O)OC2=CC=CO2)N3)=C1,-9.3,367.0627,4.6236,4,4,3,7
C11,OC1=C(O)C=C(SC2=CC3=C(C=C2)N=C(NC(=O)OC2=COC=C2)N3)C=C1,-9.3,383.0576,4.3292,4,4,4,8
D1,c12c3cc4c(c1[nH]c1c5c(nc(cc3/C=C\O)c21)c(cnc5)O)[nH]cn4,-9.3,341.0913,3.9659,6,1,4,7
H27,c12c3cc4c(c1[nH]c1c5c(nc(cc3/C=C\O)c21)ccnc5)[nH]cn4,-9.3,325.0964,4.2603,6,1,3,6
M7,c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)NC(=O)SC,-9.3,311.0728,3.6888,3,3,2,5
M23,OC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1ccc(cc1)c1ccncc1,-9.3,358.1066,3.9458,4,4,3,7
A25,[H]P([H])C(=O)c1c([H])c([H])c(c([H])c1[H])-c1c([H])c([H])c2n([H])c(nc2c1[H]):c1c([H])c([H])c([H])c([H])c1[H],-9.2,330.0922,4.9122,4,3,1,3
C3,OC1=CC=C(C=C1)C1=CC=CC(SC2=CC3=C(C=C2)N=C(NC(=O)OC2=COC=C2)N3)=C1,-9.2,443.094,6.2906,5,5,3,7
C15,OC1=COC=C1OC(=O)NC1=NC2=C(N1)C=C(SC1=CC(O)=C(O)C=C1)C=C2,-9.2,399.0525,4.0348,4,4,5,9
D7,c12c3cc4c(c1[nH]c1c5c(nc(cc3/C=C\O)c21)c1c(nc5)coc1)[nH]cn4,-9.2,365.0913,5.0065,7,1,3,7
E1,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC,-9.2,334.143,3.0986,4,3,2,6
H9,C1=CC=C(C=C1)c1nc2cc(C3=CC=CC=C3)c(cc2[nH]1)C1=CC=CC=C1,-9.2,346.147,6.5639,5,3,1,2
S11,COC(=O)NC1=NC2=C(N1)C=C(C=C2)P(=O)C1=CC=CS1,-9.2,321.0337,2.3132,3,3,2,6
S44,O=C(NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CS1)OC1=CC=CO1,-9.2,353.047,4.0593,4,4,2,7
A13,c1cc(ccc1C(=O)O)c1ccc(cc1)c1nc2c([nH]1)cccc2,-9.1,314.1055,4.5951,4,3,2,4
A19,c1(ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccccc1)CC(=O)O,-9.1,328.1212,4.524,4,4,2,4
D13,c12c3cc4c(c1[nH]c1c5c(nc(cc3/C=C\O)c21)ccnc5CN)[nH]cn4,-9.1,354.1229,3.719,6,2,5,7
E6,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O,-9.1,424.2012,4.2306,6,3,3,7
M15,c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCCCC(=O)O,-9.1,367.1168,3.2072,3,7,3,8
M20,c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)C(=O)O,-9.1,266.0691,2.4921,3,3,2,5
S18,BrOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CS1,-9.1,364.947,3.7138,3,3,2,6
S45,O=C(OC1=CC=CO1)OC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CS1,-9.1,354.031,4.0262,4,4,1,7
A10,c1cc2c(cc1)nc([nH]2)c1ccc(cc1)c1ccc(cc1)O,-9,286.1106,4.6025,4,2,2,3
A18,c1cc(ccc1CC(=O)O)c1ccc(cc1)c1nc2c([nH]1)cccc2,-9,328.1212,4.524,4,4,2,4
A29,c1cc(ccc1OC(=O)C[C@](CC(=O)O)(O)C(=O)O)c1ccc(cc1)c1nc2c([nH]1)cccc2,-9,460.1271,3.4828,4,8,4,9
B58,c1(ccc(cc1)c1cc(ccc1)C(=O)c1cc2c(cc1)nc(NC(=O)Oc1c(cccc1)C(=O)O)[nH]2)C(=O)O,-9,521.1223,5.4682,5,7,4,10
D4,c12c3cc4c(c1[nH]c1c5c(nc(cc3/C=C\O)c21)ccnc5/C(=C\O)/O)[nH]cn4,-9,383.1018,4.6747,6,2,5,8
D5,c12c3cc4c(c1[nH]c1c5c(nc(cc3/C=C\O)c21)ccnc5)n1c(=CNC1)[nH]4,-9,366.1229,3.2466,7,1,4,7
D12,c12c3cc4c(c1[nH]c1=C5[C@@H](Oc(cc3/C=C\O)c21)C=CN=C5)[nH]cn4,-9,328.096,2.9548,6,1,3,6
M52,c1cc(ccc1c1ccc(cc1)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O,-9,401.1012,3.1896,4,4,4,8
N/A,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,-9,301.0521,3.0337,3,3,2,6
S15,ClOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CS1,-9,320.9975,3.5577,3,3,2,6
A16,c1(nc2c([nH]1)ccc(c2)S(O)(O)O)c1ccccc1,-8.9,276.0569,3.8124,3,2,4,5
D2,c12c3cc4c5c1n(c1c6c(nc(cc3/C=C\O)c21)ccnc6)On5cn4,-8.9,339.0756,3.9871,7,1,1,7
A1,ClC1=CC=C2N=C(NC2=C1)\C=C\C1=CC=CC=C1,-8.8,254.0611,4.3867,3,2,1,2
A22,c1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)c1ccc(cc1)C(=O)O,-8.8,390.1368,6.2621,5,4,2,4
C18,O=C(COC(=O)NC1=NC2=C(N1)C=C(SC1=CC(=CC=C1)C1=COC=C1)C=C2)On1ccc(=O)[nH]c1=O,-8.8,519.0849,3.028,5,7,3,12
D6,c12c3cc4c(c1n1c5c6c(nc(cc3/C=C\O)c25)ccnc6o1)n(cn4)O,-8.8,355.0705,3.9264,7,1,2,8
H15,c1(ccc2c(c1)[nH]cn2)C(=O)c1ccc2c(c1)[nH]cn2,-8.8,262.0855,2.6702,4,2,2,5
M36,c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCCCOC(=O)C[C@@](CC(=O)O)(O)C(=O)O,-8.8,513.1383,1.9562,3,12,5,13
M57,c1cc(ccc1c1ccc(cc1)C(=O)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O,-8.8,429.0961,3.1822,4,5,4,9
S2,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CO1,-8.8,285.075,2.5652,3,3,2,7
S12,CSC(=O)NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2,-8.8,315.05,4.609,3,3,2,4
A2,BrC1=CC=C2N=C(NC2=C1)\C=C\C1=CC=CC=C1,-8.7,298.0106,4.4958,3,2,1,2
A23,        c1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)c1ccc(cc1)CC(=O)O,-8.7,404.1525,6.191,5,5,2,4
E9,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,-8.7,345.1147,2.8997,3,5,1,6
H24,c12c(cc3c(c1)[nH]cn3)c(cc1nccc(c21)[C@@H]1C=COC=C1)/C=C\O,-8.7,341.1164,4.9342,5,2,2,5
E5,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,-8.6,369.0759,3.5152,3,5,1,5
H16,c12c(cc3c(c1)[nH]cn3)c(cc1ncccc21)/C=C\O,-8.6,261.0902,3.793,4,1,2,4
M35,c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCCOC(=O)C[C@](CC(=O)O)(O)C(=O)O,-8.6,499.1227,1.5661,3,11,5,13
A3,OC1=CC=C2N=C(NC2=C1)C1=CC=CC=C1,-8.5,210.0793,2.9355,3,1,2,3
A27,[H]c1c([H])c([H])c(c([H])c1[H]):c1nc2c([H])c(c([H])c([H])c2n1[H])-c1c([H])c([H])c(c([H])c1[H])C(Br)=O,-8.5,376.0211,5.432,4,3,1,3
D8,c12c3cc4c(c1[nH]c1c5c(nc(c(c3/C=C\O)/C=C/O)c21)ccnc5)[nH]cn4,-8.5,367.1069,4.789,6,2,4,7
M37,c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCOC(=O)C[C@@](CC(=O)O)(O)C(=O)O,-8.5,485.107,1.5236,3,10,5,13
S46,[H]C(C1=CC=CS1)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CO1)N2,-8.5,339.0678,4.4191,4,4,2,6
D11,c12c3C[C@H]4[C@H]5[C@@H]1N1c6c7c(nc(cc3/C=C\O)c26)ccnc7[C@H]1N5CN4,-8.4,341.1277,2.3546,8,1,2,6
H21,c1nc2c([nH]1)cnc(/C(=C/N=C/N)/C)c2,-8.4,201.1014,1.3057,2,2,3,5
H28,c12c(cc3c(c1)[nH]cn3)c(cc1nccc(c21)[C@@H]1C=CNC=C1)/C=C\O,-8.4,340.1324,4.5072,5,2,3,5
Cyclobendazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3CC3,-8.4,259.0957,2.3339,3,3,2,6
A4,OC1=NC2=CC=C(C=C2N1)C1=CC=CC=C1,-8.3,210.0793,2.9355,3,1,2,3
H23,[C@H]1(C=COC=C1)c1c(c2c(cc3c(c2)nc[nH]3)c2c1nccc2)/C=C\O,-8.3,341.1164,4.9342,5,2,2,5
M18,c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)Br,-8.3,299.9898,3.5564,3,2,1,3
A12,c1cc2c(cc1)nc([nH]2)c1ccc(cc1)CCl,-8.2,242.0611,3.9687,3,2,1,2
A17,c1(nc2c([nH]1)ccc(c2)C)c1ccc(SC)cc1,-8.2,254.0878,4.2602,3,2,1,2
H13,OC1=CCC(=C1)C1=CC=C2NC=NC2=C1,-8.2,198.0793,2.7919,3,1,2,3
M16,Clc1nc2c([nH]1)cc(cc2)C(=O)c1ccccc1,-8.2,256.0403,3.4473,3,2,1,3
A11,c1ccc2c(c1)nc([nH]2)c1ccc(cc1)Cl,-8.1,228.0454,3.8833,3,1,1,2
E3,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,-8.1,383.0751,2.8843,3,7,1,7
H5,c1ccc2c(c1)[nH]c(n2)c1cccc(n1)Cl,-8.1,229.0407,3.2783,3,1,1,3
M47,FC1=CC(=CC=C1)C1=CC(=CC=C1)C(=P)C1=CC=C2N=C(NC(=P)PCC(P)=P)NC2=C1,-8.1,513.0408,6.549,4,8,2,3
E2,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCCCOC,-8,359.1304,2.9894,3,8,1,6
E4,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,-7.9,440.1597,4.0286,5,7,2,9
H3,c1(ccc2c(c1)[nH]c(n2)c1ccccn1)Cl,-7.9,229.0407,3.2783,3,1,1,3
H4,c1(ccc2c(c1)[nH]c(n2)c1ccccn1)Br,-7.9,272.9902,3.3874,3,1,1,3
H6,c1ccc2c(c1)[nH]c(n2)c1cccc(n1)Br,-7.9,272.9902,3.3874,3,1,1,3
H17,c1ccc2c(c1)NC(N2)(c1nc(ccc1)F)N,-7.9,230.0968,1.8273,3,1,4,4
M46,PC(=P)CPC(=P)NC1=NC2=CC=C(C=C2N1)C(=P)C1=CC=CC(=C1)C1=CC=CC=C1,-7.9,495.0502,6.4099,4,8,2,3
S9,COC(=O)NC1=NC2=C(N1)C=C(PC(C)C)C=C2,-7.9,265.098,2.4534,2,3,2,5
H7,C1C=CNC(=C1)c1nc2ccccc2[nH]1,-7.8,197.0953,2.4108,3,1,2,3
H8,c1(ccc2c(c1)[nH]c(n2)c1ccccn1)F,-7.8,213.0702,2.764,3,1,1,3
M48,PC(=P)CPC(=P)NC1=NC2=CC=C(C=C2N1)C(=P)C1=CC=CC(=C1)C1=CC=CC(Cl)=C1,-7.8,529.0112,7.0633,4,8,2,3
H2,c1ccc2c(c1)[nH]c(n2)c1ncccc1,-7.7,195.0796,2.6249,3,1,1,3
H33,c1nc2c([nH]1)cnc(/C(=c\1/nc[nH][nH]1)/C)c2,-7.7,214.0967,0.7825,3,1,3,6
S5,CCCSC1=CC2=C(C=C1)P=C(NC(=O)OC)N2,-7.6,282.0592,4.4284,2,4,2,4
S14,CCCOC1=CC2=C(C=C1)N=C(NC(=O)OCl)N2,-7.6,269.0567,3.054,2,4,2,6
S17,CCCOC1=CC2=C(C=C1)N=C(NC(=O)OBr)N2,-7.6,313.0062,3.2101,2,4,2,6
N/A,CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,-7.5,249.1113,2.53,2,4,2,6
N/A,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,-7.5,265.0885,3.2433,2,4,2,5
H18,c1c(cc2c(c1)nc([nH]2)O)c1c[nH]cc1,-7.4,199.0746,2.2636,3,1,3,4
N/A,CC(C)SC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,-7.4,265.0885,3.2417,2,3,2,5
S60,c1cc(ccc1)Oc1cc2c(cc1)nc([nH]2)NC(=O)OCOC(=O)C[C@@](CC(=O)O)(O)C(=O)O,-7.4,473.107,2.0849,3,10,5,13
A8,C1[C@@H]2[C@@H](CCC1)N[C@@H](N2)[C@H]1CC[C@@H](CC1)P,-7.3,240.1755,2.2504,3,1,2,2
H10,c1c(cc2c(c1)[nH]cn2)c1cocc1,-7.2,184.0637,2.8229,3,1,1,3
H25,[C@@H]1(C=CSC=C1)c1cccc2c1nc[nH]2,-7.1,214.0565,3.4207,3,1,1,2
A9,c1ccc2c(c1)NC(N2)O,-7,136.0637,0.7999,2,0,3,3
H12,N1C=NC2=C1C=C1[C@H]3C=CO[C@H]3C1=C2,-7,184.0637,2.2451,4,0,1,3
H19,c12c3c(c4c5c1n(cn2)N(n5cn4)O)[nH]cn3,-7,227.0556,0.4881,5,0,2,8
H11,c1c(cc2c(c1)[nH]cn2)c1cscc1,-6.9,200.0408,3.2914,3,1,1,2
H20,[C@@]12(C(=Cc3c(C1)nc[nH]3)O)C=CNCC2,-6.9,203.1059,1.3581,3,0,3,4
H32,c1nc2c([nH]1)cnc1c(cnc[nH]c21)C,-6.9,199.0858,1.7725,3,0,2,5
H22,c1nc2c([nH]1)c(nc(/C(=C/N=C/N)/C)c2)NC,-6.8,230.128,1.3474,2,3,4,6
H30,c1nc2c([nH]1)cnc(/C(=C/N=C/N)/C=N)c2,-6.8,214.0967,0.9354,2,3,4,6
H14,C1OC(C=C1)N1C=NC2=CC=CC=C12,-6.7,186.0793,2.1213,3,1,0,3
H29,c1nc2c([nH]1)CN1C(=C2)/C(=C/N=C/N)/C1,-6.6,201.1014,0.4507,3,1,3,5
H31,c1nc2c([nH]1)cnc(C1=C(/N=C/N)C1)c2,-6.4,199.0858,1.0597,3,2,3,5
A7,c1cc2c(cc1)NC(N2)C(Cl)Cl,-6.1,202.0065,2.6538,2,1,2,2
H26,N\C=N\C\C(=C\N)C1=NC=C2NC=NC2=C1O,-6.1,232.1073,-0.0499,2,3,6,7
H1,c1ccc2c(c1)[nH]c(n2)N(C)C,-6,161.0953,1.6289,2,1,1,3
